SEASON,BARN,BEACH,BUSHES,CABIN,CLOUDS,FENCE,FLOWERS,FOG,GRASS,HILLS,LAKE,MOUNTAIN,NIGHT,OCEAN,PATH,RIVER,ROCKS,SNOW,SNOWY_MOUNTAIN,SUN,TREES,WATERFALL,WAVES,WINTER
1,0,1,5,3,4,2,0,0,2,0,7,9,1,1,0,2,1,2,6,1,12,0,0,3
2,0,0,7,1,7,0,0,0,7,0,8,6,0,2,0,3,2,2,5,3,13,2,2,0
3,1,0,4,3,4,1,0,0,1,1,6,4,2,2,1,2,1,1,0,0,11,0,2,1
4,0,1,5,2,3,0,0,0,7,1,7,4,0,1,1,1,1,1,3,0,10,0,1,1
5,2,0,2,0,5,0,0,0,6,0,5,3,0,0,1,3,3,1,2,0,8,1,0,1
6,1,0,6,2,9,1,0,2,8,2,4,4,0,0,0,6,2,1,3,0,11,1,0,0
7,1,0,4,2,9,0,0,0,2,0,4,3,0,0,1,5,1,3,3,1,9,2,0,2
8,0,0,4,6,6,1,0,1,6,0,3,4,1,0,3,3,3,4,2,1,10,0,0,4
9,0,3,7,2,9,1,0,1,3,0,1,9,0,3,2,5,3,1,7,1,9,0,3,1
10,0,1,3,3,8,1,0,0,4,2,4,4,0,2,2,2,5,3,4,2,10,1,2,2
11,3,1,6,1,10,2,1,0,4,0,4,3,0,1,2,4,4,4,3,1,12,3,1,3
12,0,2,7,2,8,0,0,1,8,0,2,8,1,2,1,8,3,1,5,2,10,1,2,1
13,0,0,5,3,8,0,0,0,6,1,5,7,1,1,2,7,3,2,4,0,13,0,1,2
14,0,1,2,0,8,1,0,2,6,0,3,6,1,1,2,5,1,2,4,1,11,0,1,2
15,1,1,2,4,8,1,0,0,7,0,4,4,0,1,3,2,3,2,2,1,11,0,1,3
16,1,1,3,2,6,1,1,2,2,0,3,3,0,1,1,3,3,3,3,0,9,2,1,3
17,0,1,0,2,2,1,1,2,3,0,3,3,0,1,2,5,3,1,1,1,7,2,1,1
18,0,1,4,1,6,0,0,1,4,0,4,4,0,1,2,6,1,2,1,1,11,2,1,2
19,1,1,3,1,4,2,0,0,5,0,3,4,1,1,1,6,3,5,1,2,12,3,1,5
20,1,1,2,2,5,1,0,2,2,0,3,7,0,1,3,6,3,3,7,2,11,0,1,3
21,0,2,1,2,4,0,1,1,1,0,4,6,0,2,2,4,3,2,5,2,10,2,2,2
22,1,1,3,2,4,0,2,0,4,1,1,4,0,1,1,9,2,2,3,1,11,3,1,2
23,0,1,5,3,3,1,0,0,6,2,5,4,0,1,2,5,3,4,2,2,9,3,1,3
24,0,1,3,3,4,1,0,0,4,1,3,5,0,1,1,4,4,3,4,1,11,1,1,3
25,0,0,3,1,3,2,0,1,1,0,6,3,0,1,1,3,2,2,2,1,8,3,1,2
26,0,1,3,2,4,1,1,1,6,1,5,5,1,1,2,4,2,3,3,1,11,1,1,3
27,0,1,1,4,3,2,1,3,2,1,4,4,0,1,1,2,4,4,2,4,11,1,1,4
28,2,1,4,1,3,1,0,2,6,1,4,5,1,1,2,1,1,2,4,4,11,1,1,2
29,1,1,6,3,3,0,0,0,5,0,7,6,1,1,2,2,1,3,4,1,10,1,1,3
30,0,1,4,3,4,0,0,0,4,1,6,4,0,1,2,2,2,1,2,1,9,2,1,1
31,1,1,2,2,3,0,0,1,5,0,3,4,0,1,3,4,4,2,1,0,11,0,1,2
32,0,0,0,2,2.5,0,0,0,0,0,3,4,0,1,3.5,0,0,1.5,0,0,11,0.5,0,0